ID,Razón Social,NIT,Sector,Vacantes Encontradas,Última Vacante,Email Encontrado,Teléfono Encontrado,Estado
"229","MIGRACION COLOMBIA","","",0,"","","","Sin vacantes"
"230","Compania Internacional De Alimentos SAS","","",0,"","","","Sin vacantes"
"231","CRM Direct Plus","","",0,"","","","Sin vacantes"
"232","Empresa De Telecomunicaciones De Pereira S.A.","","",0,"","","","Sin vacantes"
"233","Citibank Colombia S.A.","","",0,"","","","Sin vacantes"
"234","Masering S.A.S.","","",0,"","","","Sin vacantes"
"235","Tu Carrera SA","","",0,"","","","Sin vacantes"
"236","PORVENIR S.A","","",0,"","","","Sin vacantes"
"237","UNIVERSIDAD JORGE TADEO LOZANO","","",0,"","","","Sin vacantes"
"238","Diveo Datacenter SAS","","",0,"","","","Sin vacantes"
"239","Sociedad Concesionaria Operadora Aeroportuaria Int","","",0,"","","","Sin vacantes"
"240","Fundacion Universidad Autonoma De Colombia FUAC","","",0,"","","","Sin vacantes"
"241","Gecelca SA E.S.P","","",0,"","","","Sin vacantes"
"242","Seguros de Vida Suramericana SA","","",0,"","","","Sin vacantes"
"243","GRANITOS Y MARMOLES S A","","",0,"","","","Sin vacantes"
"244","Productos Roche SA","","",0,"","","","Sin vacantes"
"245","BEL STAR S A","","",0,"","","","Sin vacantes"
"246","PRODUCTOS ALIMENTICIOS MARGARITA S.A.","","",0,"","","","Sin vacantes"
"247","Industria de Licores del Valle del Cauca","","",0,"","","","Sin vacantes"
"248","V.Q. Ingenieria LLtda","","",0,"","","","Sin vacantes"
"249","CSC- Centro de servicios crediticios","","",0,"","","","Sin vacantes"
"250","Fondo De Empleados Almacenes Exito Presente","","",0,"","","","Sin vacantes"
"251","Fundacion Universitaria Luis Amigo","","",0,"","","","Sin vacantes"
"252","ACTIVOS S.A.","","",0,"","","","Sin vacantes"
"253","INVIMA","","",0,"","","","Sin vacantes"
"254","ITC S.A. INGENIERIA  DE PLASTICOS INDUSTRIALES","","",0,"","","","Sin vacantes"
"255","TERMOTASAJERO S A E S P","","",0,"","","","Sin vacantes"
"256","Universidad ICESI","","",0,"","","","Sin vacantes"
"257","ACUEDUCTOS Y ALCANTARILLADOS DEL VALLE DEL CAUCA S","","",0,"","","","Sin vacantes"
"258","Instituto Colombiano De Bienestar Familiar","","",0,"","","","Sin vacantes"
"259","Scotiabank Colombia S.A.","","",0,"","","","Sin vacantes"
"260","Reditos Empresariales SA","","",0,"","","","Sin vacantes"
"261","EPS Y Medicina Prepagada Suramericana SA","","",0,"","","","Sin vacantes"
"262","FUNDACION SOCIAL","","",0,"","","","Sin vacantes"
"263","Synapsis Colombia S.A.S","","",0,"","","","Sin vacantes"
"264","SERVIBANCA S.A.","","",0,"","","","Sin vacantes"
"265","UNIVERSIDAD PILOTO DE COLOMBIA","","",0,"","","","Sin vacantes"
"266","EMPRESA DE OBRAS SANITARIAS DE LA PROVINCIA DE OBA","","",0,"","","","Sin vacantes"
"267","Muelles el Bosque Operadores Portuarios SA","","",0,"","","","Sin vacantes"
"268","PNUD Colombia","","",0,"","","","Sin vacantes"
"269","Levapan S.A. Cia Nacional de Levadu","","",0,"","","","Sin vacantes"
"270","Grandes Superficies de Colombia SA","","",0,"","","","Sin vacantes"
"271","FONDO DE VIGIL Y SEG.DE SANTA FE DE BOGOTA D.C.","","",0,"","","","Sin vacantes"
"272","Liceo Frances Louis Pasteur","","",0,"","","","Sin vacantes"
"273","APORTES EN LINEA SA","","",0,"","","","Sin vacantes"
"274","Almacenes Corona S.A.S","","",0,"","","","Sin vacantes"
"275","ABBVIE S.A.S.","","",0,"","","","Sin vacantes"
"276","Acciones y Valores","","",0,"","","","Sin vacantes"
"277","Pacific Stratus Energy Colombia Corp.","","",0,"","","","Sin vacantes"
"278","Enka de Colombia S.A","","",0,"","","","Sin vacantes"
"279","Old Mutual Pensiones y Cesantias S.A.","","",0,"","","","Sin vacantes"
"280","Aviatur","","",0,"","","","Sin vacantes"
"281","Compania de Puertos Asociados SA","","",0,"","","","Sin vacantes"
